ID;NomePaciente;MedicoId;CartaoSus;CPF;dataNascimento;Escolaridade;Telefone;Email;DataRequisicao;Especialidade;Senha;Gravidade;Idade;TempoEsperaSemanas;Score;CreatedAt;UpdatedAt;Prioridade
81770;Paciente591;cc38a9eb-7abe-4644-8136-62bf998b70cc;601;CPFPaciente591;2002-11-24;Escolaridade591;Telefone591;Email591@example.com;2022-04-12;Especialidade591;$2a$1591$beV591g3591xTr5hcHE591AmydX.3mX591WmG4hb/GxTM8591/YktkxJZ.UwpaS591;3;98;2;60;2023-11-24T22:38:10.846989;2023-11-24T22:38:10.846989;99
50136;Paciente481;4cb3408c-bc74-484f-a277-6c44b03896d0;491;CPFPaciente481;2022-11-24;Escolaridade481;Telefone481;Email481@example.com;2022-07-31;Especialidade481;$2a$1481$beV481g3481xTr5hcHE481AmydX.3mX481WmG4hb/GxTM8481/YktkxJZ.UwpaS481;1;98;8;76;2023-11-24T22:38:10.840976400;2023-11-24T22:38:10.840976400;99
66057;Paciente5999;8717b918-8e28-4abd-adf3-484ba0b10ba3;6009;CPFPaciente5999;1994-11-24;Escolaridade5999;Telefone5999;Email5999@example.com;2007-06-22;Especialidade5999;$2a$15999$beV5999g35999xTr5hcHE5999AmydX.3mX5999WmG4hb/GxTM85999/YktkxJZ.UwpaS5999;2;97;6;72;2023-11-24T22:38:11.000651300;2023-11-24T22:38:11.000651300;99
18131;Paciente5080;576c9b24-504d-4ef3-9517-72daff3f6fef;5090;CPFPaciente5080;2013-11-24;Escolaridade5080;Telefone5080;Email5080@example.com;2009-12-27;Especialidade5080;$2a$15080$beV5080g35080xTr5hcHE5080AmydX.3mX5080WmG4hb/GxTM85080/YktkxJZ.UwpaS5080;3;96;7;78;2023-11-24T22:38:10.985651500;2023-11-24T22:38:10.985651500;99
99981;Paciente4956;811a830d-0eda-4e42-869b-fd76d0e9679e;4966;CPFPaciente4956;2017-11-24;Escolaridade4956;Telefone4956;Email4956@example.com;2010-04-30;Especialidade4956;$2a$14956$beV4956g34956xTr5hcHE4956AmydX.3mX4956WmG4hb/GxTM84956/YktkxJZ.UwpaS4956;2;91;9;5;2023-11-24T22:38:10.984651700;2023-11-24T22:38:10.984651700;99
26515;Paciente5993;1bac7ead-88af-4237-959e-0c6dc00d1b6e;6003;CPFPaciente5993;2000-11-24;Escolaridade5993;Telefone5993;Email5993@example.com;2007-06-28;Especialidade5993;$2a$15993$beV5993g35993xTr5hcHE5993AmydX.3mX5993WmG4hb/GxTM85993/YktkxJZ.UwpaS5993;2;90;9;72;2023-11-24T22:38:11.000651300;2023-11-24T22:38:11.000651300;99
41560;Paciente9316;ad274aa9-7240-4429-a9cb-eac4ed6fe86d;9326;CPFPaciente9316;2007-11-24;Escolaridade9316;Telefone9316;Email9316@example.com;1998-05-23;Especialidade9316;$2a$19316$beV9316g39316xTr5hcHE9316AmydX.3mX9316WmG4hb/GxTM89316/YktkxJZ.UwpaS9316;2;89;9;87;2023-11-24T22:38:11.045228800;2023-11-24T22:38:11.045228800;99
96782;Paciente3903;008ab63d-d312-4be1-b361-4ee21af599d6;3913;CPFPaciente3903;2020-11-24;Escolaridade3903;Telefone3903;Email3903@example.com;2013-03-18;Especialidade3903;$2a$13903$beV3903g33903xTr5hcHE3903AmydX.3mX3903WmG4hb/GxTM83903/YktkxJZ.UwpaS3903;3;89;8;8;2023-11-24T22:38:10.967653100;2023-11-24T22:38:10.967653100;99
22105;Paciente8454;d5bbf731-96ab-4f60-b5b9-47d417b771a9;8464;CPFPaciente8454;1999-11-24;Escolaridade8454;Telefone8454;Email8454@example.com;2000-10-01;Especialidade8454;$2a$18454$beV8454g38454xTr5hcHE8454AmydX.3mX8454WmG4hb/GxTM88454/YktkxJZ.UwpaS8454;3;89;8;52;2023-11-24T22:38:11.033660900;2023-11-24T22:38:11.033660900;99
96959;Paciente9108;9566e831-fff9-420f-a644-6601aac0452d;9118;CPFPaciente9108;2005-11-24;Escolaridade9108;Telefone9108;Email9108@example.com;1998-12-17;Especialidade9108;$2a$19108$beV9108g39108xTr5hcHE9108AmydX.3mX9108WmG4hb/GxTM89108/YktkxJZ.UwpaS9108;2;89;5;18;2023-11-24T22:38:11.042226200;2023-11-24T22:38:11.042226200;99
